number,base_treaty,name,year,entry_type,full_fta,standards,investments,services,procurement,competition,iprs,depth_index,depth_rasch,flexrigid,flexescape,enforce,enforce01
1,1,Afghanistan India,2003,base_treaty,0,1,0,0,0,0,0,1,-0.802056364,3,0,2,2
10,10,Albania Kosovo,2003,base_treaty,1,1,1,0,0,0,1,4,0.817093568,2,4,1,1
100,100,Bangkok Agreement,1975,base_treaty,0,1,0,0,0,0,0,1,-1.501387199,0,4,0,0
1016a,810, Andean Countries UK (consolidated),2019,consolidated,1,1,1,1,1,1,1,7,1.867279672,5,4,8,4.25
1017a,815,Korea UK (consolidated),2019,consolidated,1,1,1,1,1,1,1,7,2.012065418,6,4,8,4.25
1019a,799,Central America UK (consolidated),2019,consolidated,1,1,1,0,1,1,1,6,1.736735744,6,4,8,4.25
1020a,202,Chile UK (consolidated),2019,consolidated,1,1,1,1,1,1,1,7,1.503075917,4,4,8,4.25
1021a,307,Faroe Islands UK (consolidated),2019,consolidated,1,1,0,0,0,0,0,2,-0.422894455,1,4,0,0
1024a,316,Israel UK (consolidated),2019,consolidated,1,1,0,1,1,1,0,5,0.644249863,2,4,7,4.5
1025a,318,Jordan UK (consolidated),2019,consolidated,1,1,1,0,0,1,0,4,0.925717038,1,3,7,4.5
1027a,323,Lebanon UK (consolidated),2019,consolidated,1,1,0,1,0,1,0,4,0.582967108,3,4,7,4.5
1028a,350,Liechtenstein UK (consolidated),2019,consolidated,1,1,0,0,0,0,0,2,-0.422894455,1,4,0,0
1029a,334,Morocco UK (consolidated),2019,consolidated,1,1,1,0,0,1,0,4,0.817093568,3,4,5,4
1032a,350,Switzerland UK (consolidated),2019,consolidated,1,1,0,0,0,0,0,2,-0.422894455,1,4,0,0
1033a,354,Tunisia UK (consolidated),2019,consolidated,1,1,0,1,0,1,0,4,0.703520501,3,4,5,3
1038a,562,Brazil Paraguay (consolidated),2020,consolidated,1,1,0,0,0,0,0,2,-0.802056364,0,1,0,0
1045a,908,Colombia Mexico (consolidated),2011,consolidated,1,1,1,1,1,0,1,6,1.675464339,7,4,8,4.25
1050a,304,Egypt UK (consolidated),2019,consolidated,1,1,1,1,0,1,0,5,0.871911264,3,4,7,4.5
1054a,328,Macedonia UK (consolidated),2020,consolidated,1,1,1,1,1,0,1,6,1.13467,4,4,0,0
1055a,874,Singapore UK (consolidated),2020,consolidated,1,1,1,1,1,1,1,7,2.091619223,6,4,7,4
1057a,877,UK Vietnam (consolidated),2020,consolidated,1,1,1,1,1,1,1,7,2.012065418,6,4,7,4
1059a,848,Canada UK (consolidated),2020,consolidated,1,1,1,1,1,1,1,7,1.800520693,3,4,7,4
1060a,330, (consolidated),2020,consolidated,1,1,0,0,1,1,0,4,0.817093568,2,4,9,4.75
1068a,419,El Salvador Panama (consolidated),1976,consolidated,0,0,0,0,0,1,0,1,-0.592425271,0,0,3,2.5
1069a,419,El Salvador Panama Protocol (consolidated),1986,consolidated,0,0,0,0,0,1,0,1,-0.592425271,0,0,3,2.5
1071a,630,Namibia Zimbabwe (consolidated),2009,consolidated,0,0,0,0,0,0,0,0,-1.501387199,0,3,0,0
